Canton,Municipality,Income tax canton,Income tax municipality,Postcode,,
ZH,oberweningen,98.00,96.00,8165,oberweningen,Oberweningen
ZH,obfelden,98.00,121.00,8912,obfelden,Obfelden
ZH,oetwil am see,98.00,116.00,8618,oetwil am see,Oetwil am See
ZH,oetwil an der limmat,98.00,105.00,8955,oetwil an der limmat,Oetwil an der Limmat
ZH,opfikon,98.00,94.00,8152,opfikon,Opfikon
ZH,ossingen,98.00,99.00,8475,ossingen,Ossingen
ZH,otelfingen,98.00,112.00,8112,otelfingen,Otelfingen
ZH,ottenbach,98.00,117.00,8913,ottenbach,Ottenbach
ZH,pfungen,98.00,117.00,8422,pfungen,Pfungen
ZH,pfäffikon,98.00,110.00,8330,pfäffikon,Pfäffikon
ZH,rafz,98.00,113.00,8197,rafz,Rafz
ZH,regensberg,98.00,111.00,8158,regensberg,Regensberg
ZH,regensdorf,98.00,118.00,8105,regensdorf,Regensdorf
ZH,rheinau,98.00,114.00,8462,rheinau,Rheinau
ZH,richterswil,98.00,99.00,8805,richterswil,Richterswil
ZH,rickenbach ,98.00,102.00,8545,rickenbach ,Rickenbach 
ZH,rifferswil,98.00,122.00,8911,rifferswil,Rifferswil
ZH,rorbas,98.00,103.00,8427,rorbas,Rorbas
ZH,russikon,98.00,113.00,8332,russikon,Russikon
ZH,rümlang,98.00,109.00,8153,rümlang,Rümlang
ZH,rüschlikon,98.00,75.00,8803,rüschlikon,Rüschlikon
ZH,rüti,98.00,119.00,8630,rüti,Rüti
ZH,schlatt,98.00,125.00,8418,schlatt,Schlatt
ZH,schleinikon,98.00,108.00,8165,schleinikon,Schleinikon
ZH,schlieren,98.00,111.00,8952,schlieren,Schlieren
ZH,schwerzenbach,98.00,101.00,8603,schwerzenbach,Schwerzenbach
ZH,schöfflisdorf,98.00,99.00,8165,schöfflisdorf,Schöfflisdorf
ZH,seegräben,98.00,113.00,8607,seegräben,Seegräben
ZH,seuzach,98.00,99.00,8472,seuzach,Seuzach
ZH,stadel,98.00,113.00,8404,stadel,Stadel
ZH,stallikon,98.00,102.00,8143,stallikon,Stallikon
ZH,stammheim,98.00,114.00,8477,stammheim,Stammheim
ZH,stammheim,98.00,114.00,8466,stammheim,Stammheim
ZH,steinmaur,98.00,112.00,8162,steinmaur,Steinmaur
ZH,stäfa,98.00,78.00,8712,stäfa,Stäfa
ZH,thalheim an der thur,98.00,104.00,8478,thalheim an der thur,Thalheim an der Thur
ZH,thalwil,98.00,83.00,8800,thalwil,Thalwil
ZH,truttikon,98.00,109.00,8467,truttikon,Truttikon
ZH,trüllikon,98.00,110.00,8466,trüllikon,Trüllikon
ZH,turbenthal,98.00,122.00,8488,turbenthal,Turbenthal
